0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149
0.000, 620.872, 621.327, 610.899, 619.634, 612.252, 612.841, 617.438, 614.972, 617.975, 642.850, 1759.405, 1724.020, 1724.545, 1735.188, 1735.090, 1735.711, 2107.398, 1340.813, 1527.269, 1332.105, 1253.356, 1237.383, 1308.530, 1455.958, 1488.055, 1542.676, 1595.910, 1661.890, 1500.986, 1224.340, 1461.191, 1460.163, 1458.330, 1459.440, 1457.742, 1458.339, 1459.309, 1458.883, 1456.759, 1459.092, 1460.145, 1474.785, 1459.382, 1399.351, 1312.922, 1288.366, 1292.362, 1298.731, 1298.275, 1295.499, 1298.141, 1300.135, 1299.503, 1298.185, 1297.505, 1396.766, 1527.503, 1719.003, 1209.617, 1397.180, 1426.235, 1378.438, 1582.230, 1551.120, 1551.008, 1565.426, 1648.482, 1350.096, 1249.492, 1289.737, 1389.057, 1385.620, 1385.223, 1384.157, 1383.971, 1384.147, 1383.542, 1383.865, 1382.397, 1382.926, 1382.467, 1384.627, 1390.988, 1506.816, 1537.769, 1602.116, 1588.005, 1543.843, 1689.582, 1674.969, 1640.291, 1645.630, 1643.516, 1638.481, 1648.740, 1642.235, 1650.823, 1662.218, 1643.413, 1788.205, 1575.813, 1568.323, 1565.679, 1566.003, 1567.623, 1566.855, 1566.015, 1567.085, 1568.287, 1564.847, 1568.409, 1567.556, 1565.815, 1568.580, 1569.076, 1572.249, 1588.265, 1609.876, 1606.529, 1601.380, 1600.525, 1600.176, 1598.785, 1600.698, 1599.705, 1599.379, 1600.845, 1598.628, 1598.335, 1598.795, 1599.035, 1598.565, 1603.581, 1610.165, 1519.836, 1844.640, 1547.185, 1544.845, 1596.595, 1579.028, 1575.445, 1574.782, 1577.322, 1538.305, 1509.042, 1415.866, 1408.965, 1402.806, 1458.437, 
620.872, 0.000, 100.394, 90.000, 122.319, 111.423, 108.083, 123.280, 118.051, 124.077, 286.059, 1733.362, 1675.068, 1676.685, 1688.467, 1688.180, 1689.847, 2023.553, 1287.815, 1481.092, 1351.286, 1208.179, 1150.911, 1227.247, 1400.810, 1448.549, 1518.361, 1601.642, 1706.703, 1442.228, 1244.161, 1452.535, 1451.057, 1450.317, 1451.858, 1449.583, 1450.165, 1450.931, 1450.710, 1448.412, 1451.048, 1451.778, 1461.848, 1450.579, 1393.519, 1312.676, 1270.582, 1274.551, 1278.701, 1278.070, 1277.697, 1278.780, 1281.018, 1279.533, 1280.071, 1279.255, 1390.957, 1526.460, 1727.267, 1106.635, 1358.885, 1393.449, 1390.335, 1579.085, 1547.336, 1547.203, 1561.486, 1639.816, 1364.545, 1149.972, 1205.763, 1343.306, 1338.700, 1339.492, 1337.940, 1338.107, 1337.486, 1337.230, 1337.368, 1336.535, 1336.251, 1336.013, 1338.135, 1344.256, 1483.465, 1502.155, 1603.679, 1601.131, 1486.417, 1622.637, 1606.410, 1569.017, 1573.923, 1572.388, 1566.295, 1577.470, 1570.867, 1579.038, 1593.088, 1571.205, 1747.893, 1566.837, 1560.765, 1557.820, 1558.695, 1560.132, 1559.282, 1558.135, 1560.658, 1561.372, 1557.098, 1561.359, 1560.177, 1559.139, 1561.076, 1562.021, 1565.636, 1538.916, 1559.117, 1555.545, 1551.330, 1550.896, 1550.416, 1549.545, 1550.707, 1549.710, 1549.692, 1550.985, 1549.269, 1549.189, 1550.195, 1549.546, 1549.507, 1553.088, 1559.163, 1473.970, 1840.648, 1563.091, 1560.325, 1607.781, 1587.931, 1585.673, 1584.802, 1586.795, 1541.755, 1496.695, 1417.999, 1392.927, 1383.207, 1426.035, 
621.327, 100.394, 0.000, 68.418, 69.663, 60.498, 77.801, 67.000, 72.049, 71.428, 275.991, 1749.182, 1681.566, 1683.507, 1694.785, 1694.565, 1696.546, 2054.483, 1271.787, 1477.155, 1353.925, 1202.685, 1146.710, 1232.263, 1408.261, 1455.930, 1526.085, 1610.805, 1716.515, 1456.559, 1254.445, 1452.628, 1450.996, 1451.055, 1453.308, 1451.288, 1452.415, 1453.062, 1452.825, 1451.647, 1453.425, 1454.586, 1465.355, 1455.699, 1398.065, 1323.135, 1285.369, 1285.620, 1283.002, 1280.165, 1279.890, 1279.837, 1281.685, 1280.220, 1280.355, 1279.916, 1403.105, 1536.306, 1735.593, 1121.523, 1373.879, 1408.460, 1397.088, 1581.509, 1551.589, 1551.889, 1568.212, 1646.039, 1383.031, 1171.729, 1229.579, 1368.697, 1363.017, 1364.468, 1362.167, 1363.447, 1361.871, 1361.725, 1362.188, 1361.359, 1360.759, 1360.506, 1362.668, 1369.471, 1509.609, 1530.667, 1627.180, 1624.318, 1517.965, 1664.005, 1645.653, 1606.595, 1611.548, 1610.223, 1604.286, 1615.631, 1609.310, 1616.971, 1631.847, 1609.162, 1763.785, 1583.735, 1577.189, 1574.472, 1575.162, 1576.486, 1575.599, 1574.585, 1577.637, 1577.947, 1573.905, 1577.411, 1576.535, 1576.357, 1577.492, 1579.478, 1583.277, 1569.188, 1583.147, 1578.877, 1574.117, 1574.260, 1573.431, 1573.037, 1573.493, 1572.511, 1572.855, 1573.860, 1572.192, 1572.403, 1573.311, 1572.687, 1572.675, 1576.843, 1582.888, 1489.320, 1892.069, 1600.225, 1597.629, 1617.497, 1599.865, 1598.140, 1597.100, 1598.608, 1549.585, 1504.633, 1424.787, 1394.653, 1385.755, 1428.723, 
610.899, 90.000, 68.418, 0.000, 74.135, 68.022, 54.424, 73.498, 72.595, 75.888, 270.437, 1738.452, 1682.105, 1683.837, 1695.383, 1695.196, 1696.906, 2053.196, 1273.326, 1473.942, 1343.296, 1197.801, 1141.450, 1226.329, 1405.449, 1454.791, 1525.190, 1610.266, 1719.755, 1457.182, 1246.245, 1451.188, 1449.787, 1449.768, 1452.028, 1450.102, 1451.127, 1451.989, 1451.785, 1450.135, 1452.380, 1453.521, 1465.449, 1453.975, 1396.908, 1319.915, 1279.582, 1281.365, 1281.136, 1278.562, 1277.395, 1277.798, 1279.655, 1278.165, 1277.738, 1277.357, 1395.613, 1530.071, 1728.062, 1115.280, 1371.086, 1405.475, 1398.055, 1582.265, 1551.952, 1552.028, 1567.263, 1644.807, 1379.533, 1163.028, 1223.998, 1365.070, 1360.041, 1360.770, 1359.076, 1359.829, 1358.895, 1358.638, 1358.981, 1357.732, 1357.305, 1357.322, 1359.278, 1366.215, 1507.375, 1524.497, 1622.777, 1620.288, 1512.443, 1643.825, 1626.143, 1587.900, 1593.017, 1591.752, 1585.592, 1597.103, 1590.429, 1598.312, 1612.396, 1590.171, 1761.097, 1584.035, 1577.603, 1574.746, 1575.508, 1576.889, 1575.999, 1574.877, 1577.492, 1577.998, 1574.103, 1577.939, 1576.883, 1576.129, 1577.907, 1579.308, 1583.045, 1563.058, 1578.691, 1574.800, 1570.446, 1570.486, 1569.726, 1568.835, 1569.991, 1568.838, 1568.817, 1570.295, 1568.249, 1568.447, 1569.331, 1568.631, 1568.549, 1572.497, 1579.021, 1489.815, 1871.022, 1590.923, 1588.132, 1620.646, 1602.970, 1600.668, 1599.742, 1601.201, 1554.113, 1508.245, 1425.929, 1397.653, 1388.229, 1430.633, 
619.634, 122.319, 69.663, 74.135, 0.000, 32.171, 55.624, 27.713, 32.741, 30.903, 265.643, 1743.831, 1682.790, 1684.755, 1695.802, 1695.619, 1697.565, 2066.909, 1269.821, 1472.309, 1338.896, 1184.505, 1130.727, 1221.791, 1404.403, 1456.007, 1525.143, 1613.999, 1728.120, 1456.540, 1254.217, 1449.942, 1447.945, 1447.935, 1450.035, 1448.118, 1449.129, 1449.965, 1449.757, 1448.825, 1450.395, 1451.717, 1463.773, 1452.108, 1395.018, 1324.263, 1285.637, 1287.261, 1286.205, 1283.645, 1283.125, 1282.985, 1284.900, 1283.388, 1283.416, 1283.092, 1404.380, 1533.892, 1714.145, 1120.355, 1375.150, 1409.429, 1402.549, 1580.797, 1550.499, 1550.662, 1565.998, 1642.797, 1386.325, 1170.630, 1235.531, 1376.747, 1371.187, 1372.215, 1370.169, 1371.263, 1369.939, 1369.815, 1370.173, 1369.245, 1368.813, 1368.506, 1370.788, 1377.647, 1521.445, 1542.931, 1643.063, 1640.016, 1521.640, 1642.993, 1624.369, 1587.046, 1591.801, 1590.577, 1584.822, 1595.895, 1589.725, 1597.147, 1611.468, 1588.947, 1758.971, 1593.781, 1587.116, 1584.199, 1584.922, 1586.280, 1585.359, 1584.233, 1587.339, 1587.811, 1583.563, 1587.313, 1586.355, 1585.975, 1587.337, 1589.247, 1593.139, 1567.785, 1583.678, 1579.693, 1575.030, 1575.135, 1574.325, 1573.949, 1574.632, 1573.527, 1573.909, 1574.941, 1573.310, 1573.512, 1574.362, 1573.722, 1573.655, 1577.513, 1583.615, 1498.932, 1871.552, 1596.245, 1593.618, 1634.146, 1615.749, 1613.943, 1612.951, 1614.280, 1566.575, 1518.441, 1434.980, 1403.966, 1394.292, 1434.395, 
612.252, 111.423, 60.498, 68.022, 32.171, 0.000, 54.213, 30.183, 33.511, 35.327, 268.836, 1743.820, 1680.911, 1682.902, 1694.008, 1693.813, 1695.803, 2057.943, 1271.066, 1471.891, 1339.408, 1187.507, 1133.679, 1221.996, 1401.559, 1451.795, 1521.231, 1608.077, 1718.563, 1452.061, 1250.275, 1446.486, 1444.531, 1444.548, 1446.780, 1444.892, 1445.949, 1446.790, 1446.598, 1445.583, 1447.235, 1448.426, 1460.485, 1448.919, 1391.497, 1320.122, 1282.161, 1283.812, 1282.727, 1279.985, 1279.436, 1279.236, 1281.095, 1279.593, 1279.605, 1279.285, 1400.765, 1531.535, 1714.717, 1117.456, 1370.806, 1405.117, 1396.005, 1576.378, 1545.945, 1546.085, 1561.563, 1638.623, 1379.105, 1166.726, 1229.605, 1370.007, 1364.505, 1365.481, 1363.472, 1364.571, 1363.245, 1363.105, 1363.451, 1362.495, 1362.065, 1361.805, 1364.035, 1370.795, 1513.269, 1534.098, 1633.026, 1629.838, 1513.950, 1643.543, 1625.195, 1587.572, 1592.275, 1591.087, 1585.292, 1596.390, 1590.155, 1597.612, 1612.090, 1589.663, 1754.745, 1584.905, 1578.256, 1575.368, 1576.082, 1577.442, 1576.528, 1575.429, 1578.497, 1578.965, 1574.718, 1578.469, 1577.528, 1577.135, 1578.499, 1580.342, 1584.197, 1561.209, 1577.148, 1573.202, 1568.452, 1568.548, 1567.723, 1567.348, 1568.035, 1566.901, 1567.285, 1568.360, 1566.720, 1566.946, 1567.785, 1567.126, 1567.087, 1570.947, 1577.068, 1491.288, 1868.723, 1588.565, 1586.017, 1624.392, 1605.865, 1604.082, 1603.097, 1604.456, 1556.632, 1509.683, 1427.035, 1396.878, 1387.540, 1428.898, 
612.841, 108.083, 77.801, 54.424, 55.624, 54.213, 0.000, 56.675, 57.585, 58.284, 264.239, 1737.778, 1677.916, 1679.666, 1691.076, 1690.910, 1692.597, 2065.550, 1273.388, 1472.129, 1341.727, 1190.882, 1137.159, 1225.535, 1405.638, 1455.918, 1525.950, 1613.783, 1724.742, 1458.060, 1251.832, 1450.898, 1449.438, 1449.506, 1451.815, 1449.955, 1451.038, 1451.916, 1451.693, 1450.308, 1452.358, 1453.666, 1465.421, 1453.907, 1396.838, 1323.543, 1285.086, 1286.536, 1285.650, 1282.757, 1281.518, 1281.781, 1283.611, 1282.095, 1281.500, 1281.185, 1402.123, 1532.541, 1719.236, 1122.098, 1373.569, 1407.809, 1402.285, 1584.147, 1554.139, 1554.268, 1569.605, 1646.971, 1385.381, 1171.715, 1233.750, 1373.899, 1368.595, 1369.400, 1367.573, 1368.506, 1367.448, 1367.226, 1367.585, 1366.381, 1365.965, 1365.891, 1367.958, 1374.812, 1517.181, 1537.125, 1635.761, 1633.117, 1522.466, 1646.592, 1628.655, 1590.470, 1595.612, 1594.373, 1588.292, 1599.737, 1593.103, 1600.918, 1614.915, 1592.517, 1763.252, 1589.618, 1583.256, 1580.380, 1581.075, 1582.455, 1581.577, 1580.457, 1583.152, 1583.640, 1579.762, 1583.461, 1582.473, 1581.840, 1583.475, 1585.068, 1588.812, 1570.603, 1586.028, 1582.098, 1577.706, 1577.815, 1576.967, 1576.195, 1577.333, 1576.106, 1576.191, 1577.621, 1575.605, 1575.865, 1576.677, 1576.006, 1575.907, 1579.855, 1586.332, 1497.971, 1874.140, 1598.070, 1595.176, 1627.595, 1610.043, 1607.766, 1606.851, 1608.387, 1561.270, 1514.525, 1431.695, 1401.538, 1392.115, 1433.336, 
617.438, 123.280, 67.000, 73.498, 27.713, 30.183, 56.675, 0.000, 29.326, 25.942, 269.705, 1745.751, 1684.458, 1686.456, 1697.598, 1697.405, 1699.363, 2065.406, 1268.407, 1471.575, 1339.409, 1185.458, 1130.958, 1221.530, 1403.481, 1454.495, 1523.925, 1612.481, 1725.712, 1456.679, 1253.635, 1448.375, 1446.426, 1446.522, 1448.803, 1446.941, 1448.031, 1448.880, 1448.686, 1447.820, 1449.371, 1450.656, 1462.346, 1451.505, 1394.299, 1323.518, 1286.190, 1287.309, 1285.462, 1282.535, 1281.952, 1281.689, 1283.517, 1282.002, 1281.947, 1281.636, 1404.651, 1534.117, 1715.486, 1121.211, 1374.915, 1409.221, 1400.056, 1578.767, 1548.706, 1548.878, 1564.502, 1641.145, 1384.969, 1171.482, 1235.981, 1377.145, 1371.510, 1372.541, 1370.462, 1371.659, 1370.251, 1370.149, 1370.510, 1369.518, 1369.047, 1368.819, 1371.021, 1378.030, 1521.667, 1543.272, 1641.708, 1638.779, 1521.490, 1647.840, 1629.095, 1591.400, 1596.151, 1594.978, 1589.206, 1600.350, 1594.116, 1601.552, 1616.025, 1593.440, 1758.420, 1591.552, 1584.933, 1582.048, 1582.753, 1584.098, 1583.170, 1582.093, 1585.252, 1585.665, 1581.417, 1585.076, 1584.161, 1583.925, 1585.151, 1587.205, 1591.102, 1568.156, 1582.967, 1578.888, 1574.166, 1574.325, 1573.488, 1573.119, 1573.745, 1572.605, 1573.035, 1574.085, 1572.426, 1572.656, 1573.507, 1572.855, 1572.811, 1576.719, 1582.870, 1496.587, 1877.255, 1596.916, 1594.260, 1630.995, 1612.898, 1611.130, 1610.095, 1611.393, 1563.230, 1515.285, 1432.666, 1401.303, 1391.895, 1432.373, 
614.972, 118.051, 72.049, 72.595, 32.741, 33.511, 57.585, 29.326, 0.000, 25.239, 267.279, 1740.979, 1685.028, 1686.963, 1698.032, 1697.849, 1699.781, 2061.929, 1270.275, 1470.575, 1335.138, 1183.588, 1128.037, 1217.549, 1400.296, 1452.627, 1522.118, 1610.735, 1725.298, 1455.631, 1249.379, 1447.591, 1445.615, 1445.607, 1447.825, 1445.959, 1446.949, 1447.855, 1447.665, 1446.669, 1448.312, 1449.558, 1462.165, 1450.405, 1393.060, 1320.765, 1281.280, 1283.233, 1282.519, 1279.855, 1279.135, 1278.986, 1280.833, 1279.357, 1279.246, 1278.902, 1399.378, 1530.488, 1713.027, 1116.323, 1371.725, 1406.068, 1399.276, 1578.712, 1548.245, 1548.349, 1563.556, 1640.426, 1381.795, 1165.552, 1230.105, 1371.595, 1366.145, 1367.001, 1365.079, 1366.095, 1364.856, 1364.720, 1365.048, 1364.049, 1363.656, 1363.357, 1365.613, 1372.486, 1516.169, 1537.141, 1636.779, 1633.956, 1516.669, 1637.408, 1618.888, 1581.590, 1586.316, 1585.163, 1579.367, 1590.491, 1584.235, 1591.679, 1605.965, 1583.569, 1757.091, 1590.267, 1583.670, 1580.699, 1581.436, 1582.825, 1581.911, 1580.779, 1583.811, 1584.319, 1580.085, 1583.881, 1582.898, 1582.433, 1583.878, 1585.692, 1589.559, 1562.977, 1579.275, 1575.336, 1570.665, 1570.743, 1569.919, 1569.498, 1570.295, 1569.143, 1569.496, 1570.615, 1568.920, 1569.115, 1569.969, 1569.315, 1569.263, 1573.040, 1579.233, 1494.319, 1866.199, 1589.938, 1587.305, 1630.967, 1612.492, 1610.622, 1609.627, 1610.845, 1563.717, 1516.007, 1432.122, 1401.360, 1391.795, 1432.095, 
617.975, 124.077, 71.428, 75.888, 30.903, 35.327, 58.284, 25.942, 25.239, 0.000, 268.408, 1742.873, 1683.165, 1685.166, 1696.238, 1696.041, 1698.030, 2064.980, 1269.049, 1471.655, 1337.245, 1183.598, 1129.376, 1220.076, 1402.905, 1454.418, 1523.708, 1612.983, 1727.540, 1456.991, 1253.228, 1448.456, 1446.486, 1446.557, 1448.795, 1446.941, 1447.977, 1448.876, 1448.655, 1447.779, 1449.325, 1450.619, 1462.977, 1451.573, 1394.296, 1323.235, 1284.647, 1286.076, 1284.627, 1281.760, 1281.125, 1280.868, 1282.712, 1281.229, 1281.148, 1280.809, 1403.466, 1533.462, 1714.126, 1119.685, 1373.943, 1408.242, 1401.081, 1579.956, 1549.727, 1549.869, 1565.365, 1642.108, 1385.290, 1169.832, 1234.353, 1375.753, 1370.171, 1371.171, 1369.133, 1370.270, 1368.929, 1368.795, 1369.168, 1368.169, 1367.732, 1367.467, 1369.696, 1376.658, 1520.767, 1541.992, 1641.575, 1638.693, 1521.411, 1643.309, 1624.540, 1586.976, 1591.740, 1590.603, 1584.823, 1595.945, 1589.746, 1597.142, 1611.526, 1588.995, 1759.000, 1592.566, 1585.942, 1583.013, 1583.725, 1585.091, 1584.168, 1583.051, 1586.148, 1586.589, 1582.396, 1586.085, 1585.145, 1584.789, 1586.131, 1588.069, 1591.956, 1568.145, 1583.499, 1579.490, 1574.763, 1574.895, 1574.025, 1573.679, 1574.367, 1573.222, 1573.635, 1574.710, 1573.035, 1573.258, 1574.095, 1573.461, 1573.425, 1577.266, 1583.427, 1497.347, 1873.845, 1595.663, 1593.001, 1632.265, 1613.997, 1612.212, 1611.211, 1612.437, 1564.752, 1517.039, 1433.443, 1401.939, 1392.440, 1432.649, 
