0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149
0.000,74.159,72.178,64.920,73.906,71.294,77.847,76.100,66.466,62.583,85.138,140.304,99.859,99.436,102.552,110.361,104.279,167.213,174.407,160.700,172.615,179.346,179.923,170.638,154.120,183.594,175.929,196.773,198.289,195.333,185.974,178.769,184.783,183.262,191.070,176.719,177.763,178.553,182.945,182.604,179.788,183.385,180.674,179.244,187.246,184.796,189.861,194.183,191.815,189.899,192.151,189.552,191.198,187.544,191.201,194.145,195.033,190.739,187.565,171.311,179.170,173.005,200.000,198.064,200.000,198.348,198.134,198.348,200.000,170.109,166.499,176.489,173.029,168.867,182.926,181.849,176.376,162.869,170.472,180.080,180.592,178.773,174.936,182.647,166.288,161.793,161.351,153.781,162.649,198.170,195.606,193.058,198.379,192.787,193.792,194.475,190.726,195.228,190.490,190.687,196.054,152.203,153.679,147.179,146.687,147.114,141.656,154.319,151.592,160.353,147.860,151.671,149.055,155.874,154.683,155.414,155.973,171.663,177.070,174.298,175.806,176.780,172.781,177.004,176.817,170.988,174.367,171.205,175.266,176.992,175.839,178.221,175.101,175.456,173.062,152.781,200.000,196.678,191.282,172.366,170.525,171.583,170.295,170.938,170.368,177.442,174.186,189.992,189.712,194.249
74.159,0.000,62.512,64.023,73.338,56.684,57.780,75.332,61.982,54.964,57.753,128.663,97.860,99.258,102.385,98.097,97.719,160.717,162.573,161.287,164.585,166.313,167.271,165.709,150.858,175.001,170.536,189.945,191.140,186.818,179.242,169.143,172.299,174.770,175.780,165.390,166.937,165.432,173.062,175.218,171.530,171.906,165.703,165.292,173.671,182.190,187.432,187.239,186.356,186.280,187.805,185.970,187.075,184.242,185.578,187.356,185.410,178.782,178.122,162.845,164.510,161.282,192.208,188.555,190.449,186.885,188.447,186.988,192.208,162.552,162.451,162.880,161.775,154.576,166.080,170.079,163.736,155.530,159.038,165.127,166.746,165.142,160.629,166.548,159.654,157.515,154.835,152.742,167.989,190.272,186.138,186.630,187.508,186.238,185.194,186.702,184.680,187.634,182.445,183.619,187.558,156.237,155.206,153.622,155.799,155.435,152.738,151.548,157.991,160.450,150.098,159.039,148.594,156.295,155.295,152.380,149.638,172.414,173.210,172.187,172.862,175.730,172.620,175.140,173.725,169.193,173.603,172.399,173.591,170.003,172.605,178.401,177.308,172.002,171.684,165.178,192.053,191.248,184.117,165.427,163.033,163.767,160.880,163.463,171.299,176.101,171.764,181.692,180.754,186.306 
72.178,62.512,0.000,41.191,46.385,44.401,56.144,50.562,48.497,59.082,59.931,122.990,94.397,97.964,97.001,99.622,96.407,160.924,165.028,152.564,154.898,164.875,169.015,165.420,147.001,175.315,167.616,191.067,190.915,183.291,169.591,167.316,166.470,171.910,172.359,163.062,161.237,162.366,169.871,172.743,167.395,170.454,162.192,162.335,170.521,171.264,175.957,179.179,175.010,176.269,177.857,174.603,177.883,173.545,175.259,178.306,184.814,185.805,177.839,149.571,159.048,152.044,191.781,186.449,190.623,188.371,187.860,186.518,191.781,157.051,160.125,160.385,161.704,154.567,167.336,167.512,164.326,149.692,152.940,161.838,157.496,163.499,159.314,159.777,153.112,154.392,144.938,134.842,156.127,189.750,186.844,182.032,188.356,181.482,181.811,184.929,179.449,187.460,175.170,176.556,185.835,133.560,137.834,136.288,138.613,136.317,135.797,135.769,138.702,144.041,131.808,141.314,131.560,137.261,138.757,136.608,139.102,166.479,171.767,169.631,173.211,168.457,171.211,173.330,172.818,168.082,170.851,168.076,170.308,170.337,171.338,174.546,172.126,171.855,170.669,147.243,191.608,190.848,184.428,163.964,159.748,161.838,162.016,160.872,164.539,166.216,166.585,180.563,180.251,185.918 
64.920,64.023,41.191,0.000,46.083,48.855,52.333,52.562,51.363,58.324,62.757,130.875,100.228,100.019,100.111,108.092,100.382,158.323,167.069,155.929,155.260,160.550,170.896,167.130,146.737,175.475,168.548,189.780,190.984,183.920,171.602,169.583,168.494,172.855,172.391,163.137,163.310,163.746,171.327,174.519,170.016,172.489,163.671,165.010,175.696,172.651,178.727,180.151,177.480,177.861,180.236,178.571,178.507,174.789,177.109,180.516,187.155,181.438,179.081,149.944,160.694,154.201,192.208,190.335,192.453,190.744,190.400,190.744,192.208,156.789,151.662,161.993,161.724,152.725,170.242,167.414,160.014,149.007,155.486,162.226,162.407,162.939,160.320,165.049,157.218,155.745,147.483,138.574,154.450,190.264,187.446,182.529,187.514,183.250,180.953,184.225,180.546,186.515,175.960,178.572,186.219,138.431,140.616,140.496,140.142,140.971,139.691,140.943,143.269,148.680,137.800,142.470,135.196,142.934,142.374,141.059,141.997,166.156,169.793,165.878,167.109,168.553,166.028,169.356,170.015,165.007,169.450,165.512,166.618,168.074,167.732,171.455,168.991,168.707,166.472,149.225,192.053,191.088,183.848,164.474,162.425,161.229,163.246,163.848,164.273,169.077,168.271,182.009,181.154,186.336 
73.906,73.338,46.385,46.083,0.000,52.870,52.708,50.638,49.939,63.557,68.048,124.169,98.400,95.191,96.337,102.022,102.029,158.472,167.273,158.374,157.472,159.620,169.810,165.017,147.669,177.705,172.638,192.857,191.683,185.581,171.949,169.084,170.652,173.282,173.600,162.655,162.822,163.581,173.492,174.371,170.866,171.868,163.457,163.752,172.552,173.679,178.379,181.385,178.722,179.058,180.277,176.991,180.799,175.483,177.051,181.763,184.337,181.369,179.102,149.657,159.499,154.567,192.308,190.450,190.750,189.097,190.528,189.153,192.308,156.569,158.315,159.121,164.437,152.014,166.203,166.045,161.853,143.504,155.844,160.873,159.595,163.186,157.586,161.440,153.625,151.571,143.512,133.413,157.005,190.393,189.403,185.464,189.012,182.989,183.277,186.345,181.480,188.564,178.770,179.817,188.578,137.636,135.985,136.628,135.385,132.186,130.128,135.402,137.105,143.872,134.823,140.480,127.406,139.993,133.316,137.102,137.602,167.059,173.517,168.189,172.591,173.062,171.506,169.876,172.198,169.139,170.472,168.850,170.516,171.146,171.463,174.105,172.145,173.365,168.783,145.378,192.157,191.660,182.323,165.157,161.752,161.781,164.140,162.183,165.535,169.478,168.803,183.334,182.320,186.486 
71.294,56.684,44.401,48.855,52.870,0.000,51.937,52.090,47.516,52.059,55.423,126.224,96.431,96.664,98.216,100.364,96.809,158.916,165.775,158.253,156.992,171.485,172.452,166.829,148.502,175.040,169.132,189.871,190.877,184.567,169.014,164.245,169.626,171.222,173.790,161.314,162.298,161.870,170.066,170.878,167.576,167.864,163.971,158.957,169.834,171.253,179.843,181.601,179.642,178.783,180.164,178.332,179.868,176.213,178.210,181.969,185.191,182.672,177.375,148.379,163.219,158.648,191.724,187.503,189.736,188.105,188.075,188.534,191.724,156.643,158.132,166.080,162.598,156.471,167.915,171.798,166.864,149.477,157.555,164.921,166.924,165.900,159.459,167.573,154.781,152.939,143.808,140.879,160.147,189.699,187.151,183.833,188.288,181.746,183.779,184.869,179.840,187.359,176.637,178.512,186.267,143.791,139.754,141.084,140.868,141.287,141.081,138.276,145.289,147.805,135.399,145.799,135.817,145.279,142.106,138.316,139.412,168.367,173.632,171.015,172.453,172.525,170.764,171.647,173.502,168.335,173.139,171.675,171.553,171.719,173.338,176.512,174.157,172.380,169.106,153.263,191.549,189.522,183.746,164.454,160.122,159.830,160.676,159.923,164.466,169.719,168.678,180.776,180.957,185.983 
77.847,57.780,56.144,52.333,52.708,51.937,0.000,51.783,57.771,66.985,63.258,123.969,100.237,99.084,100.121,104.898,101.085,158.398,171.347,160.528,160.102,161.849,173.643,169.308,153.932,177.142,174.678,191.889,190.736,183.147,174.731,169.242,171.081,174.024,174.065,162.961,162.221,164.423,173.190,172.340,170.270,172.785,164.409,164.017,172.806,174.599,181.670,183.118,183.001,180.852,183.688,180.669,183.521,180.985,181.473,184.383,187.216,182.892,178.143,154.263,157.552,153.286,191.276,189.246,191.542,189.841,189.216,189.841,191.276,159.171,159.409,159.949,160.057,151.677,163.171,163.465,161.057,144.575,155.381,161.504,162.086,164.411,159.208,162.219,151.121,154.460,143.276,138.335,163.875,190.574,189.524,186.556,189.341,182.743,181.894,186.049,182.656,187.180,180.977,179.915,189.071,147.304,142.734,141.158,142.321,144.238,141.607,138.038,145.096,148.046,136.610,145.040,135.908,147.860,140.350,143.848,141.613,171.880,176.930,174.226,178.804,176.524,175.665,177.438,177.610,175.349,176.629,177.365,177.290,177.416,175.341,181.988,180.891,178.778,175.567,156.336,192.308,190.934,185.051,168.219,164.650,164.631,164.857,164.116,168.267,168.543,174.254,182.288,181.092,185.731 
76.100,75.332,50.562,52.562,50.638,52.090,51.783,0.000,56.713,65.647,73.238,119.347,96.354,92.974,93.469,98.821,100.549,160.550,169.081,157.772,161.907,164.526,177.320,169.111,149.873,177.340,171.676,191.327,191.177,184.024,168.759,165.429,167.059,171.626,170.913,159.107,160.857,162.419,169.854,169.170,166.648,170.520,163.176,162.429,168.379,171.530,181.402,182.200,180.331,180.776,180.804,179.038,181.556,179.058,178.559,182.579,187.325,187.540,178.991,150.936,158.366,151.343,192.258,190.411,192.500,190.810,190.473,190.810,192.258,159.950,159.356,159.007,159.884,152.108,164.398,166.625,161.383,144.142,154.725,162.266,161.090,164.756,158.300,163.562,148.400,151.890,142.680,130.868,156.913,190.335,189.018,184.104,188.981,182.597,182.535,185.470,181.063,186.675,177.203,178.834,186.566,132.951,138.003,135.469,134.592,133.420,130.066,135.996,135.863,143.593,131.275,135.934,132.261,137.331,138.556,139.111,140.830,169.217,176.138,171.019,175.100,173.142,172.243,173.148,175.663,170.005,173.583,170.626,173.828,176.566,176.366,177.142,175.083,174.476,173.019,146.820,192.105,191.269,184.565,167.535,163.826,165.672,165.667,165.231,166.723,171.878,167.662,182.106,181.533,187.053 
66.466,61.982,48.497,51.363,49.939,47.516,57.771,56.713,0.000,61.307,65.484,133.912,95.976,96.446,98.860,99.746,96.094,159.420,168.192,160.081,165.001,171.265,173.531,167.991,148.970,176.495,169.316,193.216,193.461,187.585,174.260,170.472,174.579,176.500,179.699,168.752,168.201,170.252,175.400,175.627,172.437,173.888,170.960,169.149,174.711,176.350,181.226,182.408,180.098,182.589,182.847,179.664,181.508,178.819,179.496,183.619,186.883,185.761,181.221,153.715,168.474,167.440,194.262,192.448,194.436,192.804,192.506,192.804,194.262,163.590,160.870,171.461,170.017,160.872,175.200,175.824,167.629,157.595,159.677,168.291,171.674,171.174,168.763,173.932,160.423,158.238,151.319,143.789,157.929,192.400,186.555,183.779,187.954,186.429,183.845,184.915,183.429,187.040,178.076,181.247,187.852,141.956,143.615,142.399,145.415,140.327,138.473,145.429,146.628,152.443,138.586,147.989,137.603,147.715,142.999,145.270,148.385,168.307,172.363,167.407,172.717,170.505,172.918,171.263,173.928,168.669,173.497,169.722,170.128,173.191,173.889,176.402,173.101,173.225,170.263,151.377,194.153,191.542,186.983,164.665,162.262,162.126,162.177,163.928,166.456,173.308,170.067,184.463,183.072,188.672 
62.583,54.964,59.082,58.324,63.557,52.059,66.985,65.647,61.307,0.000,69.571,126.936,92.309,93.442,99.314,99.754,94.273,160.153,163.022,158.319,162.261,172.002,171.823,168.601,151.737,177.575,171.700,191.942,191.798,185.050,172.070,167.499,171.334,170.902,174.851,161.417,165.091,163.051,169.935,172.054,168.694,171.178,164.020,164.719,171.472,174.257,183.319,185.548,183.266,183.635,184.762,182.124,185.281,181.217,182.880,185.167,185.834,182.994,179.862,158.061,162.798,159.474,192.638,187.747,186.604,186.520,188.558,186.440,192.638,159.863,156.634,165.427,161.800,154.411,172.285,173.572,163.392,155.492,158.391,164.492,165.641,163.444,162.058,164.047,159.301,157.492,150.393,146.119,164.372,190.819,189.754,185.176,189.494,183.980,184.024,186.485,181.786,188.613,179.564,180.884,188.058,146.731,147.441,144.918,144.593,145.135,142.389,143.336,149.925,152.181,140.120,149.804,143.113,152.654,146.093,145.470,149.116,172.779,170.808,173.613,169.828,170.789,168.560,170.473,167.949,165.341,171.636,170.057,168.605,168.877,169.490,174.461,172.010,169.373,166.097,159.242,192.500,191.745,184.912,167.634,164.381,164.812,164.894,165.888,167.932,172.050,168.935,183.353,182.804,187.054 
